tweet_with_emoji_meaning,label
پیرمرد وصیت احدی تاکید احدی درد دل نکنید بعدش پشیمونی سنگ نمی‌کنید دندونتونو خرد,0
مجوز بده ملت  ماشین استاندارد بتونن بیارن سوار شن جونشون ماشینای بی‌کیفیت ۴۰۵۰ سال کری فرانسوی دست ندن قول میدیم درخواست بنز بی‌ام پورشه مازراتی نداشته_باشیم جان عزیزتون  بیارید بدتر پرایدو پژو ۴۰۵ نباشه,0
دیت دختره دید زشتم می‌خواست پاشه بره آینهی دستشوییمون میز درآوردم مایل گرفتم صورتم گفتم دلت میاد,1
اکیپ دخترونه هست پایه قراراست کلاس نمیذاره زود میاد کمک مواظب دل هست درد دل  گریه مشکل گشای کار بقیه اس بهش بزنی دوبله جوابتو میده گوشیش سلام  زحمتی برات دارمه میگم اون نباشید بازنده‌ترین دختره,0
۵۰۰ نفری مراسم سالگرد پدر همسرم شرکت فوتی‌ی ۴۰۵۰ نفر روز کرونا کمتر ۵ نفر بودیم ماسک زده_بودیم جالب اینجاست فوت پدر همسر کرونا مردم قشنگ ماسک بوسیدن گذاشتن سر طاقچه,0
تقریبا آدمی می‌بینم منتظره نمیدونه منتظر چی,0
بچه‌ی افغان شرکت می‌گفت می‌خواهم افغانستان زن بچه‌ام برگردم دلتنگشان هستم دیگه بچه‌ شوخی بسلامتی بچه بعدی توی راهه ضد بشریت استفاده انسان عاقل اوضاع بچه‌دار نمی‌کردم افغانا کاندوم بگن ضد بشریت,1
فیلم ساختهی وودی آلن  دیالوگ قشنگی هست میگه قوی پیروز باشی اینه خوششانس باشی جمله قبول دارم خوشبختی شانس فاکتور دیگی مهمتره,0
میگیم هیکل اسکینی قشنگه منظورمون فرم بدنی آریانا گرانده سلینا گومزه عکسایی میذارین آدم یاد فقرای کنگو چاد ئیتی میفته,1
سردار آزمون مهدی طارمی استوری اینستاگرام چمپیونزلیگ همدیگه بجنگن,1
جامعه داره سمتی میره اگه بخوای   شوخی کنی قبلش برینی خودت مقابلت بفهمونی ببین ببین درد نداره ببین شوخیه,0
رئیس‌کل سازمان نظام پزشکی ایران امسال هیچ‌کس متقاضی رشته جراحی قلب کشور نشده کشور فارغالتحصیل جراحی اطفال رشته‌ی ضروری جراح نداریم شرایط موجود مجبور می‌شویم عقبگرد هند پاکستان فیلیپین پزشک,0
زبان میخوندی الان مجرت کردی میخوندم الان سریال زیرنویس می‌بینم,1
کاش الان زن داشتم زنگ می‌زدم پدرخانومم می‌رفتم پیشش باهم تخته‌بازی می‌کردیم یکم زیراب باجناغم جلوش می‌زدم روابطشون تیره تار بشه,1
حضور بانوان ورزشگاه شاهد جیمی جامپ خواهیم_بود,1
بازی استقلال تهران مس کرمان دقیقه ۷۵ استقلال ۱ ۰ مس کرمان,0
کاش انقدر دقیق واسه اذان برنامه‌ریزی میکنن باشه واسه مملکت انقدر درست برنامه‌ریزی میکردن,0
اطلاعیه باشگاه استقلال اقدام صداوسیما باشگاه استقلال اعتراض فیلمبرداری دیدار استقلال مس کرمان مقامات فدراسیون سازمان لیگ ناظر بازی اعلام پیگیری حقوق هوارادان استقلال کوتاه نخواهد_آمد صدا سیما نه‌تن حق فوتبال زنده محتوای مربوطه نمی‌پردازد تصویربرداری مانع تبلیغات زمین شبکه صدا سیما فوتبال برتر مسئول مستقیم رفتار حرفی عادلانه,0
 توریست ایتالیایی رفته اسپانیا برگشته کووید آبله می‌مونی میگن سفر خاطره جوج زدن وسط جنگل خانواده پدری گوش موزیک سنتی,1
کاش باشگاه‌ی ورزشی گارانتی لاغری کارشون اصلا دوام نداره باشگاه ول درجا چاق میشم,1
چقدر ایدهت احمقانه باشه اینه اجراش کنی یکم احمقانه خوبه,0
دنیا درحال پیشرفت هستش کیفیت چمن بازی تصویربرداری بقیه چیزا ایران پسرفت سال سال بدتر,0
تخمه شکستن اینجوریه  مشت می‌داری شرافتت قسم می‌خوری دیگه مشته نیم ساعت متوجه میشی تموم عمرت  آدم بی‌شرف بودی,1
اکثر اونایی حرف میزنن آدمای مضطربی هستن تلاش میکنن خودشون کلامشون مخفی کنن دقیقا عکس اون میرسه واقعیشون شدت ناراضی گریزانن,0
سرکار میام خونه صبح بهم  تکست کن ابزار علاقه نداده غمگین میشم موضوع برام تکراری نمیشه,0
راننده گفتم  جلوتر  فستفودی هست وایستا برم یهچیزی بگیرم بیام وایستاد رفتم برگشتم دیدم نمیشه این ستاره معلوم راننده اتوبوسی شهرداری هرکاری دلشون بخواد میکنن,1
وقت نمیتونم کمپ ممپی‌ عشق طبیعتگردی احساس راحتی واقع همونقدر وسط طبیعت احساس ناامنی دارم توی طبقه دهم برج وسط شهر شلوغ احساس امنیت خارج سواد شهر مساوی امنیت,0
مامانم میگم اینستاگرام آشنا شدم میرم ببینمش میگه دختره پسره والا مادر واسه منم سورپرایزه برم ببینم چیه,1
اینایی حیوونشون گم‌شده آگهی گمشده مثلا مینویسن گربه اسمش شهروزه روزه گم‌شده بعدش خیابون گربی می‌بینیم ازش می‌پرسیم اسمت شهروزه میگه آره می‌بریم میدیم صاحبش,1
زیرساخت استادیوم حضور بانوان ایجاد معاون توسعه ورزش زنان وزارت ورزش جوانان گو ایرنا زیرساخت استادیوم حضور بانوان اماکن عنوان تماشاچی برگزاری مسابقات جمله فوتبال ایجاد بانوان علاقه‌مند فوتبال بتوانند صورت حضوری استادیوم مسابقات برحسب موضوع تماشا,0
اونایی میخوان دست بدن شل دست میدن دوبار کنسلن,0
کیفیت گفتگو توی شرایط پیچیده چالشی میتونه کیفیت رابطه حفظ کنه میشه مشاجره بحث مخاطب سرشار اعتماد امنیت تعلق باشه برعکسش بحث احتمالا بشه فاتحهی رابطه,0
بابام هرچیزی دوبار بهت بگن بفهمی گفتم چی,1
دوستانی پست عکساشونو استوری میکنن اگه دوست دارین فلش بدیم بریزین برامون,1
توانایی ست قسمتای لباس جوریه انگار دیرم چی دم دستم پوشیدم اومدم,1
ماهی یکبار اینستاگرامو می‌کنی می‌بینی جنیفر لوپز عروسی,1
بنده روزی شلوغم روزایی شدت مشغله یادت میره پیام‌ی تلگرامت سین زدی جواب ندادی روزایی پات شب خستگی درد میکنه روزایی انقدر اتفاق توش افتاده انگار روز,0
فوت بیمار کووید شبانه‌روز گذشته مبتلایان نفر قربانیان نفر مبتلایان نفر قربانیان نفر بهبودیافتگان نفر بیماران بدحال نفر,0
عکاس‌ عصبانی میشن دیگه میگن برو لنزتو بذار,1
دوست ندارم موقع ناراحتی کنارم باشه چی هی میای می‌پرسی حالت خوبه چته برو درو ببند خودم غصه‌م تموم میام,0
شهریور فرصت عشق وقت گذرونی باش توی پاییز هستش,0
میدونستید علمی باروری موروثیه اگه پدر مادر بچهدار نشن احتمال بچهدار بشید صفره,1
ضرب‌المثل انگلیسی آب طلا نوشت حقیقت بزن توی گوشم دروغ مرا نبوس,0
ابراهیم تاتلیس ترور کما کما اومد  ذره سکته  مقدار الان تصادف احتمالا اینبار شه اردوغان موشک میزنتش نگران نباشید میشه,1
 روز  بی‌تربیت میرسه  بی‌ادب ازونور  بی‌فرهنگ میاد میگه بی‌شخصیت,0
قابل‌توجه مدرسه‌ای‌ امسال مهر جمعه میریم تعطیل میریم پنجم تعطیل ششم میریم میشه پنجشنبه جمعه تعطیل بعدش خدا کریمه,1
فکت  دختر دلش برات تنگ میشه سر حرفو نمی‌کنه سر جنگو میکنه,0
مطمئنم بهشت بوی سیب‌زمینی سرخ‌کرده سس قارچ میده,0
روحی دارم اردلان سرفراز  ترانه بگه بده سیاوش قمیشی  آهنگ واسش بسازه بده ابی بخونه,0
لطفا گوزیدن موقع حرکات شکم زدن باشگاه نرمالایز,1
کاش زودتر پولدار شم عشقمو اطرافیانم کادوی گرون نشون بدم,0
گاز گرفتن مچ بجای خریدن ساعت مچی نرمالایز,1
أتمنی ان أقع فی حب لا یهون حزنی مهما حدث بیننا آرزو عاشق شوم هرچه بینمان اتفاق افتاد هرگز غم اندوه ناچیز نشمرد,0
ظرف ته‌دیگ میدن سفره دست دست کنیماون نفر بیشورن,1
پنجشنبه‌ معمولا خونه درینک اسموک خانوادگی عرق بیدمشک می‌خوریم بعدشم مامانم اسفند دود می‌کنه,1
خداروشکر باشگاه‌ مختلط نیستن بخاطر ماشالا ماشالا گفتن  مشت سیبیل مفاصلمونو فنا میدیم کن پای جنس مخالفم بیاد وسط,1
زندگی اونجایی  شوهر پولدار کنی خودتو بندازی گردنش سخته بقیه ش دیگه کاری نداره pensive face,0
وقت نکنید مستقلو قانعید کار می‌کنید ادا اصول خودتون هستید شوهرت توقع مالی نداری  مرد هستی دوستم ویژگی رو داره شوهرش بهش جدا بشیم احساس  مرد دارم زندگی  زن,0
امان حرف نزدن حرف نمی‌زنی دغدغه‌ی ذهنیت آروم آروم پایه‌ی رابطه نابود میشه نتیجش میشه دوتا آدمی نمیدونن چیشد یهو کار,0
تصمیم دارم  گربه سیاه سرپرستی بگیرم موی سیاه تخت فرش اون بدم استرس ریزش مو نداشته_باشم,1
این‌که میگن پسری میخندونه جذابه دروغه وگرنه الان دخترا حسن ریوندی کراش میزدن پارسا پیروزفر,1
کارد بزنی حس ناکافی میپاشه,0
زنگ زدم مامانم یهو اونور دخترخالهم صدای اشنا می‌شنوم تحویل نمی‌گیری بیمعرفت گفتم ایا زنگ زدی جواب ندادم خب زنگ نزدی گفتم اخه مشکلی ندارم اظر نظری راجع معرفت نکردم گلایه داری زنگ بزنی منتظرم برن مامانم زنگ بزنه بشورتم,1
قشنگ وضعیت مالی محله میشه گربه‌ی اون محله متوجه,1
میدونستید سربازای هخامنشی میخواستن پاسور بزنن آریو برزنو صدا میکردنن,0
بابام میگه پول کجا میاری روز صبح میری شب گفتم پدر استخدام شدم سر کار میرم مگه امتحانای مدرست نشده کلا اطلاعاتش حده میدونه زنده م,1
کابوس خواب بد دیدن صبح زود بیدار شدنه,0
نظرم آخرش می‌فهمیم عمو پورنگ قزمیته,1
مهدی ربی یک‌بار رفته_بود شهر خانهی پدریش نوشته_بود راحتی می‌توانم مریض شوم سرما بخورم تب بلرزم می‌لرزم مریض می‌شوم تب مطمئنم زودی خواهم_شد خانم,0
انقدری یوتیوبر درخواست میکنن براشون زنگوله بزنیم گوسفند چوپون درخواست نمیکنه,1
لطفا اونی باش  تنست آشنایی نداره میره جلو باش حرف میزنه احساس راحتی باشه,0
آدم هیجده سالگی گواهینامه میگیره  مترو سوار بدبخت باقی میمونه,1
قدردانی مهمه بچه‌ آدما وظیفه ندارن لطف میکنن قدردانی نشانه شعور شماست,0
حدودی نظرم مهترین قشنگترین جذابیت‌ی ادم‌ معاشرت رابطه عاطفی دوستی هوش اجتماعی اوناست فیزیک ظاهرشون,0
محل ورود شرایط حضور بانوان تماشاگر بانوان فردا درب شرقی ورزشگاه آزادی پارکینگ شماره اجازه ورود مجموعه ورزشی ورود قسمت اتوبوس تونل شماره ورزشگاه مشرف جایگاه شماره ورزشگاه ازادی منتقل خواهند_شد قطعه بلیت بانوان اختصاص‌یافته بانوانی موفق بلیت نشدند فردا ورزشگاه مراجعه نکنند بانوان محترم فردا آوردن لوازمی کیف دستی لوازم آرایشی پاور بانک اکیدا خودداری مأموران انتظامی اجازه ورود اقلام ورزشگاه نمی‌دهد,0
دوستام قرار شام داشتیم دوستم گوشیشو دستم بره سرویس یهو مامانش اس‌ام اس ساعت شب آشغالا,1
 پسر متولد متاهل اومد شرکت مصاحبه توی فرم اون قسمت تفریحات سرگرمیی موردعلاقه نوشته_بود همسرم دوست دارم وقت خودم همسرم بگذرانم مود,1
شدم پیرزنا  تاپ بلوز خوشم بیاد رنگشو می‌خرم,1
همسر آینده عزیزم پسفردا باهم رفتیم  سقف سیر شدم دیگه گرسنم چاق شدم غذا نمیخوام میخوام رژیم بگیرم امثالهم نداریم اگه میخوای مسخره‌بازی دربیاری نیا,1
دیر می‌رسم دیر می‌فهمم دیر عادت دیر دست می‌کشم دیر دل می‌بندم دیر دل کلا دیرم دیرمه دیره نمیدونم میفهمین,0
مسئولیت استیکری برات فرستادم قبول مسئولیت پکش دیگه,1
پیکر ابتج ایران هواپیمای حامل پیکر هوشنگ ابتج دقایقی فرودگاه امامره زمین مراسم تشییع روز جمعه ساعت صبح مقابل تالار وحدت برگزار بعدازظهر جمعه مراسم تدفین باغ محشتم شهر رشت برگزار,0
ظهر قرار  پاکت امانتی بگیرم بهش گفتم پاکتو کن پوله تاشو بردار بابت زحمتی کشیدی رسیدم دیدم دست‌نخورده گفتم برنداشتیبا کنایه آقا تومن  پیتزا نمیدن گفتم پاکتو خراب نکنم پاکتو گذاشتم جیبم گفتم هرچی می‌کشی ذهن فقیرته پاکت دلار,1
مث گربه بام رفتار کنن بم محبت بورزن متوجه باشن بشون توجه نمی‌کنم توجه اونقد بذارن خودم باشم بم توجه کنن حق بدن بیتوجهی توجه کنن اعصابم خورد شه,0
مامانم گفتم اشکال نداره اشتباهت آغوش قبول کن یهو دیدم همونو اومد بغلم,1
اومده مامانم گفتم میخوام قناری بخرم خودت سگی تاکید داره موضوع,1
مادر شیرازی همسر فرزندش کشت معاون فرهنگی اجتماعی پلیس فارس مادری همدستی استان البرز همسر فرزند دختر پسر قتل رسانده_بود توسط پلیس دستگیر کارآگان پلیس آگاهی اقدامات مطلع مادر خانواده همدستی مذکر استان البرز پسر مرحوم دوست اقدام سم داروی آرام‌بخش سال ریختن شربت غذا اقدام کشتن همسر فرزند پسر دختر همسر دستگیر تاجر وضعیت اقتصادی برخوردار متهمان انگیزه جنایت طمع اموال مرحوم پدر خانواده اقرار کردند,0
قبول دارم چاقی قشنگ چاقی پسند میشه ولم کنین دفعه گفتین عمل کن لاغر شو نمیخوام بزارین خودم باشم رم کنین اینطوری خوشحالم اگه بنظر همهچی درست یادتون نره کلا ربطی نداره چی ربطی نداره ر,0
آدما چی ضربه زندگی میخورن فک فامیل دوست آشنا بودهغریبه آخه میدونه زخم زندگیمون کجاست بخواد نمک بپاشه,0
منطق دخترا نشود فاش دوست صمیمیم منو توست,1
زمانی می‌فهمید لاشی‌ی گذشتتون چقد بهتون آسیب زدن  انسان باتون آدم رفتار میکنه می‌کنید داره ادا میاره,0
آزادی مادر بابک خرمدین صحت سرپرست دادسرای امور جنایی تهران مادر بابک خرمدین زندان آزاد نشده_است زندانی اشاره مقررات حق استفاده مرخصی حاضر استفاده مرخصی عنوان محکوم مرخصی وصل آزادی مشروط اعزام‌شده صحت پایان مرخصی زندان معرفی مدیر ندامتگاه زنان استان تهران مادر مرحوم خرمدین شهریور ماه مرخصی رفته_است اقدامی زمینه آزادی صورت نگرفته_است,0
احتیاج دارم سالم باشه  مهمونی خانوادگی صدای مبل خوابم ببره بعدش بابام بغلم کنه ببرتم ماشین,0
 نوشته_بود داره نصیحتت میکنه مخاطبش اون لحظه نیستیخودش گذشتشه,0
مترو بلند میشم جامو میدم کم‌توان همش حواسم فرشته راستیه میگم نوشتی بنویس دیگه دوبار بنویس,1
پیکر استاد ابتج وطن سرکنسول جمهوری اسلامی ایران شهر فرانکفورت پرواز حامل پیکر استاد ابتج دقایقی فرودگاه فرانکفورت ایران انجام,0
 سریا تازه رفتن تراپی کلمهی طرحواره یاد گرفتن منتظرن بگوزه بگن طرحوارهی باد ر,1
سرعت اینترنت میشه بخوام گوشیمو محکم بکوبم زمین قیمت گوشی میشه گوشی خودمو بزنم,0
اعلام رسمی باشگاه استقلال انتقال مهدی قایدی تیم یک‌میلیون ۱۰۰ هزار یورو ۲۵۰ هزار یورو باشگاه اماراتی ۸۵۰ هزار یورو دستمزد آپشن هزینه آبی رقم قایدی احتمالا گرانقیمتترین فوتبالیست فصل لیگ برتر,0
خدا خرجایی واسه گربه‌ی پدرسگتون می‌کنید واسه ماشینمم نمی‌کنم ماشین ندارم,1
سگ‌یی توی خونه نگهداری میشن اینجورین صدای خوراکی سریع سمتت داداش داشتم میدونم,1
ایران موسوی مادر بابک خرمدین زندان قرچک ورامین آزاد ایران موسوی مادر بابک آرزو خرمدین روز سه‌شنبه شهریورماه زندان قرچک ورامین مرخصی وصل آزادی مشروط اعزام پیشتر بابت اتم مشارکت قتل فرزندان تسلیم رای دادگاه کسر محکومیت صادره سال ماه حبس محکوم‌شده دلیل فوت اکبر خرمدین پدر بابک آرزو متهم اصلی پرونده زندان قرار موقوفی منع تعقیب صادر,0
چیزیی الآن گوشیتون میچسبونید قبلا فرمون ماشین سنگین میزدن راحتتر بچرخه,1
هیچوقت فلسفه اسم فامیل نفهمیدم مثلا فامیلی اکبریه اسمشم میذارن اکبر اکبر اکبری کت شلواره مگه,1
ابتج جمعه راهی خانه ابدی فرزند مرحوم ابتج اعلام هماهنگیی صورت وزارت فرهنگ ارشاد اسلامی پیکر پدرم هوشنگ ابتج شاعر ایرانی جمعه شهریور ساعت صبح تهران مقابل تالار وحدت تشییع خاکسپاری راهی رشت می‌شویم,0
امروز  مطلب علمی گروه خونوادگیمون واتساپ خوندم نوشته_بود مردان چاق سالگی عمر میکنن دورود علم خداحافظ ورزش رژیم  خنده,1
بزرگسالی خودت خستی زیدت خستهست دوستات خستن سگت خستهست,0
حس ناکافی بدترین ظلمی هست میتونید خودتون بکنید هیچکس زمینه‌ سخت آسون اون کار ربط نداره معیار ذهن یکسان زندگی خودتون هستید زندگی خودشون مربوطه مسئولش نیستید,0
زنگ زدید جواب نداده بلافاصله بهش زنگ می‌زنید دوتا حالت یارو موقعیتی نتونسته جواب بده خب ثانیه موقعیتش تغییری نکرده بتونید زنگ بزنید نخواسته جواب بده خب اینجوری دفعه برنمیداره,0
دختر ساعته دنبال مراقبت پوست هستن آخر کار انگار وینچستر شلیک صورتشون,0
پاییز رگ گردن بهمون نزدیک‌تر روزا میخواد کوتاه بشه هوا ابری افسردگی قراره همو بغل رعشه بند بند وجودم افتاده,0
انقدر بدم میاد تربیتی خانوادم میگن رو یادت دادیم خیر همشو خودم زحمت تلاش خودم یاد گرفتم,1
دلم میخواد  پلاکارد بگیرم دستم نوشته  نخ نازک دنیا وصلم مدارا غرق غم استرس اضطراب احساس عقب سختی فشار هستم خستم تلاش نخ نازک بریده نشه شرایط هندل,0
رنگ تیم کاری ندارم خوشحالم بانوان عزیز تبریک امیدوارم توی شهر ورزشگاه‌ اتفاق بیافته,0
توجه دخترایی کلیپ قمه کشی دعواشون اومد دخترایی کافه حاجی حاجی میکنن می‌ترسم اگه تیم علاقه بانوان نتیجه نگیره  فحشایی بدن بازی ورود آقایون استادیوم ممنوع کنن بگن زیرساختاش فراهم شه آقایون استادیوم  خنده,1
