Text,Top Reaction,Top Reaction Count,Views,Date
سجاد غریبی بیشتر بدرد خندوانه میخوره   × نولانی ×  @OfficialPersianTwitter,😁,1258,92414,2022-08-01
کاش سجاد غریبی رو ممنون الخروج کنن که دیگه نتونه بره جایی آبروریزی کنه  × Ali ×  @OfficialPersianTwitter,😁,1417,92756,2022-08-01
میگن سجاد غریبی وسطای مسابقه گفته: قبول نیس، این مشت میزنه   × 𝐒𝐨𝐛𝐡𝐚𝐧 𝐙𝐚𝐫𝐠𝐡𝐚𝐦𝐢 ×  @OfficialPersianTwitter,😁,1671,96096,2022-08-01
به کیسه بوکس مشت میزنی برمیگرده، سجاد غریبی میرفت دیگه برنمیگشت ...   × $|-|@|-|R@M  ×  @OfficialPersianTwitter,😁,1174,93269,2022-08-01
‏اگه جای سجاد غریبی بودم حالا که کتکه رو خورده‌م فورا برای گرفتن دیه اقدام می‌کردم. فیلمشم هست یارو نمی‌تونه انکار کنه.  × تارانزینو ×  @OfficialPersianTwitter,😁,1016,86528,2022-08-01
‏سجاد غریبی جوونمردی کرد تبدیل نشد وگرنه اگه هالک می‌شد حریفشو می‌برد.  × موفاسا ×  @OfficialPersianTwitter,😁,927,87571,2022-08-01
‏«قلب تو قلبِ پرنده، پوستت اما پوستِ چرب و مختلط مستعد آکنه.»   × مآن ×  @OfficialPersianTwitter,😁,1006,83292,2022-08-01
از لحاظ روحی نیاز به مسافرت دارم؛ کاش محرم زودتر تموم بشه بریم صَفر  »بایو«  @OfficialPersianTwitter,😁,1027,88838,2022-08-01
پسر خالم هفت سالم با مامانش بد صحبت کرده و مامانش بهش گفته خیلی بی ادبی و ازت ناراحت شدم. اونم رفته تو اتاقش تو سطل آشغال نشسته از خودش سلفی گرفته و فرستاده. زیرشم نوشته «مامان من یه آشغالم که ناراحتت کردم، ببخشید» :))  »Reza«  @OfficialPersianTwitter,😁,1866,89292,2022-08-01
فلو دیگه چرا فیلتره؟ من واسه اینکه بدونم کی قراره پریود بشمم باید vpn وصل کنم؟  »تینـــا«  @OfficialPersianTwitter,😁,1820,85182,2022-08-01
استرس دارم از یه خونواده پولدار زن بگیرم روز عروسیم که شاباش میندازن رو سر عروس این فامیلای ندید بدیدمون نذارن خودم هیچی‌کاسب‌ شم  »خلافکار«  @OfficialPersianTwitter,😁,1375,87746,2022-08-01
یه رفیق ترک داشتم یبار ازم پرسید  موزیسین مورد علاقت کیه؟  گفتم‌ باخ گفت هارا؟  »لایوپوول«  @OfficialPersianTwitter,😁,1147,87576,2022-08-01
حالا همتون میاین پشت سر مختارنامه بد میگید بعد شبش یواشکی میزنین آی فیلم میبینینش  »شایانوف«  @OfficialPersianTwitter,😁,2046,84222,2022-08-01
واقعاً رژیم گرفتن راحته، من خودم تصمیم گرفتم فست فود نخورم، الان میرم پیتزا بگیرم میگم حسابی لفتش بده.  »آقا الماسی«  @OfficialPersianTwitter,😁,679,82514,2022-08-01
بعضیا با اینکه رفتار مناسبی باهات ندارن ولی حالتو خوب میکنن، مثل شیاف دیکلوفناک  »دابانف«  @OfficialPersianTwitter,😁,1088,83827,2022-08-01
ناموسا بالای درخت لش کردن و موز خوردن چش بود که یهو تصمیم گرفتیم تکامل پیدا کنیم؟  »حاج امیر هستم«  @OfficialPersianTwitter,😁,1595,86179,2022-08-01
